number,question,option_1,option_2,option_3,option_4,option_5,option_6,correct_answers,explanation,reference_url,source_file,test_number
57,Two of the key attributes that distinguish semi-structure data from structured data are :,Lack of a Fixed Schema,Nested data structure,Fixed Schema,,,,"1, 2",Two of the key attributes that distinguish semi-structured data from structured data are nested data structures and the lack of a fixed schema.,,Test 7,7
58,Which role is inherited to every other role in the account?,DEFAULT ROLE,STANDARD ROLE,CONTROL ROLE,PUBLIC ROLE,PREFERED ROLE,,4,"PUBLIC role is Pseudo-role, that is automatically granted to every user and every role in your account. The PUBLIC role can own securable objects, just like any other role; however, the objects owned by the role are, by definition, available to every other user and role in your account. This role is typically used in cases where explicit access control is not needed and all users are viewed as equal with regard to their access rights.",,Test 7,7
59,"You set up a Snowflake account, choosing AWS as your cloud platform provider. What stages can you use to load data files? (Check all that apply)",NAMED INTERNAL,NAMED EXTERNAL - using GCS/GCP Buckets,TABLE,USER,NAMED EXTERNAL - using Azure BLOB storage,NAMED EXTERNAL - using S3 Buckets,"1, 2, 3, 4, 5, 6","Does not matter which cloud provider you have setup your account, Snowflake supports all the stages. For example, you can have your account setup on AWS but you can use Azure blob as your external stage.",,Test 7,7
60,What is the default compression algorithm Snowflake apply while unloading data?,NONE,GZIP,GZIP3,ZSTD,BZ2,,2,"When unloading data, files are automatically compressed using the default, which is gzip.",,Test 7,7
1,How much is the Time-Travel retention period of Permanent Table (Standard Edition)?,1 day,7 days,90 days,0 days,,,1,Permanent Table has maximum of 1 day for Standard Edition and maximum of 90 days Time-Travel retention period for all other Snowflake editions.,,Test 8,8
2,You have a LARGE sized warehouse ‘MY_WAREHOUSE‘. You want to change the size to SMALL. Which SQL statement will help you to change the size of warehouse?,ALTER WAREHOUSE MY_WAREHOUSE SET WAREHOUSE_SIZE = “SMALL“;,ALTER WAREHOUSE MY_WAREHOUSE SET SIZE = “SMALL“;,UPDATE MY_WAREHOUSE SET SIZE = “SMALL“;,ALTER MY_WAREHOUSE SET SIZE = “SMALL“;,,,1,ALTER WAREHOUSE command can help change the warehouse size,,Test 8,8
3,Which type of Tables has 7 days Fail-Safe period.,Permanent,Temporary,External,Transient,,,1,Only Permanent Table retains 7 days of Fail-Safe.,,Test 8,8
4,Please choose the correct statements about Micro-Partitions (Select 2),Snowflake automatically determines the most efficient compression algorithm for the columns in each micro-partition.,Snowflake micro-partitions are derived automatically,"Micro-partitions are small in size (50 to 500 MB, after compression)",Micro-partitions can‘t overlap in their range of values,,,"1, 2","Snowflake takes care of all the compression algorithm. Micro-partitions can overlap in their range of values, which, combined with their uniformly small size, helps prevent skew. The micro-partitions are small in size (50 to 500 MB, BEFORE compression).",,Test 8,8
5,Which Snowflake Editions have Elastic Data Warehousing. Check all the Snowflake editions that have Elastic Data Warehousing enabled.,Premium,Standard,Enterprise,Virtual Private Snowflake,Business Critical Edition,,"3, 4, 5",Standard Edition only has Single Compute Cluster. Premium is not a Snowflake edition. All other editions have multi clusters capability.,,Test 8,8
6,Monica is an ACCOUNTADMIN and wants to change the Time Travel retention period of table T1 of database DB1 to 15 days. Which options will help her to set the new Time Travel retention period?,Execute SQL Command - ALTER TABLE T1 SET DATA_RETENTION_TIME_IN_DAYS = 15;,Monica can change the retention period through ACCOUNT tab on UI,Monica should contact Salesforce support to get it done,Execute SQL Command - ALTER TABLE T1 SET DATA_RETENTION_TIME_IN_DAYS = 75;,,,1,Set the correct context for Database and Schema and run the ALTER TABLE command to set DATA_RETENTION_TIME_IN_DAYS to 15.,,Test 8,8
7,Some compute occurs in the cloud services layer. When customer is charged for compute which occurred in the cloud services layer?,There is no charge to customer for cloud services layer,Customers are charged for cloud computing that exceeds 50% of total compute costs for the account,Customers are charged for cloud computing that exceeds 10% of total storage costs for the account,Customers are charged for cloud computing that exceeds 10% of total compute costs for the account,,,4,"Usage for cloud-services is charged only if the daily consumption of cloud services exceeds 10% of the daily usage of the compute resources. The charge is calculated daily (in the UTC time zone). This ensures that the 10% adjustment is accurately applied each day, at the credit price for that day.",,Test 8,8
8,How much data each of the micro-partition contain in uncompressed form? Select the,1 GB,16 MB,Between 50 MB to 500 MB,Between 10 MB to 40 MB,,,3,"Micro-partitions are small in size (50 to 500 MB, before compression).",,Test 8,8
9,Snowflake compute costs depend on which of the following? (Select 2),The number of rows returned in queries.,The sizes of running warehouses.,The amount of time warehouses have run.,The total number of warehouses in the account.,,,"2, 3",Compute cost depends on the Warehouse Size and the time it was in started mode or running,,Test 8,8
10,Micro-partitions are IMMUTABLE. What are features make micro-partitions IMMUTABLE?,Snowflake purges the micro-partitions as soon as you delete any record from table.,Snowflake creates new micro-partitions every time there is data change.,Micro-Partitions are not editable.,When new data gets ingested Snowflake tries to insert data in existing micro-partition to save the storage.,,,"2, 3","Snowflake creates new partitions in case of any data change or new ingested data and also keeps the old version of micro-partition. The old versions of micro-partitions are used for Time-Travel and Fail-Safe. Services layer stores metadata about every micro-partition like – MIN/MAX ranges of values in each column, Number of distinct values, Row count etc.",,Test 8,8
11,Monica has a EMPLOYEE_DATA table. Monica wants to create another table EMPLOYEE_DATA_OTHER which should be same as EMPLOYEE_DATA table with same data. What is the best option for Monica?,Clone the table with same data with SQL command as follows - CREATE TABLE EMPLOYEE_DATA_OTHER CLONE EMPLOYEE_DATA;,Create the table with same data with SQL command as follows - CREATE TABLE EMPLOYEE_DATA_OTHER AS SELECT * FROM EMPLOYEE_DATA;,CREATE SHARE EMPLOYEE_DATA;,Create the table with LIKE SQL command as follows - CREATE TABLE EMPLOYEE_DATA_OTHER LIKE EMPLOYEE_DATA;,,,1,The best option is the Clone the table as EMPLOYEE_DATA and EMPLOYEE_DATA_OTHER has same structure and same data. It will help save the storage cost. LIKE command only creates empty table.,,Test 8,8
12,Snowflake Storage layer is a Cloud Storage layer. It depends on which cloud provider you are using. Select the current available cloud providers.,IBM Cloud,AWS Cloud,Azure Cloud,Oracle Cloud,GCP,,"2, 3, 5","As of now, AWS, AZURE and GCP are three cloud providers which provide Cloud Storage layer for Snowflake.",,Test 8,8
13,"Decreasing the size of a running warehouse removes servers from the warehouse. When the servers are removed, the cache associated with the servers is dropped.",TRUE,FALSE,,,,,1,"Decreasing the size of a running warehouse removes servers from the warehouse. When the servers are removed, the cache associated with the servers is dropped, which can impact performance in the same way that suspending the warehouse can impact performance after it is resumed. Keep this in mind when choosing whether to decrease the size of a running warehouse or keep it at the current size. In other words, there is a trade-off with regards to saving credits versus maintaining the server cache.",,Test 8,8
